Player, Team, Pts, Reb, Ast, Stl, Blk, eFG%, TS%, USG%, O-Rt, D-Rt, DRE/36, PER
Rodney Stuckey, IND, 6.27%, 4.43%, 8.41%, 5.96%, 2.11%, 43.60%, 50.40%, 20.50%, 101.3, 105.2, -1.04, 12.6, 
Gerald Henderson, POR, 7.39%, 5.94%, 4.69%, 7.11%, 5.30%, 48.40%, 52.60%, 20.20%, 104, 109.7, -0.82, 12.9, 
Tyler Johnson, MIA, 3.63%, 2.85%, 4.46%, 4.14%, 2.45%, 54.30%, 58.10%, 17.20%, 109.9, 105, 0.21, 13.9, 
Jordan Farmar, MEM, 1.62%, 0.87%, 3.01%, 2.38%, 0.82%, , , , , , -1.24, , 
Lance Stephenson, MEM, 7.40%, 6.40%, 7.94%, 5.81%, 2.46%, 51.30%, 54.80%, 20.00%, 103.4, 108.3, -0.43, 13.3, 
Patty Mills, SA, 8.14%, 4.30%, 11.01%, 8.88%, 1.12%, 52.50%, 54.10%, 19.70%, 109.1, 102.4, 0.99, 14.6, 
Cory Joseph, TOR, 8.28%, 5.84%, 16.33%, 10.75%, 4.65%, 46.50%, 51.20%, 17.00%, 106, 108.5, -0.49, 12.4, 
Jeremy Lamb, CHA, 6.47%, 6.60%, 4.15%, 6.71%, 6.21%, 50.60%, 52.90%, 22.00%, 104.1, 102.8, 1.06, 15.8, 
Nik Stauskas, PHI, 7.72%, 5.41%, 7.88%, 6.47%, 4.04%, 48.30%, 51.70%, 16.70%, 97.7, 112.9, -1.95, 9.1, 
Gerald Green, MIA, 7.28%, 4.40%, 3.08%, 6.55%, 3.32%, 46.30%, 49.10%, 19.80%, 99.1, 108.1, -2.11, 10, 
Tony Wroten, NYK, 0.83%, 0.58%, 1.19%, 0.64%, 0.00%, , , , , , -11.57, , 
Tony Allen, MEM, 6.69%, 8.61%, 4.14%, 15.06%, 5.46%, 47.40%, 50.50%, 16.70%, 101, 104.8, 0.36, 12.9, 
Mo Williams, CLE, 3.77%, 1.89%, 5.03%, 2.44%, 1.53%, 49.70%, 52.70%, 22.80%, 100.6, 105.3, -1.84, 12.4, 
O.J. Mayo, MIL, 3.95%, 3.13%, 6.28%, 7.00%, 1.68%, 45.20%, 47.40%, 16.70%, 91, 110.1, -2.12, 7.5, 
Ben McLemore, SAC, 6.06%, 4.04%, 3.93%, 7.02%, 2.76%, 50.20%, 53.10%, 17.60%, 95.6, 111.1, -2.18, 8.6, 
Wayne Ellington, BKN, 7.24%, 5.00%, 4.48%, 7.66%, 1.51%, 47.40%, 49.80%, 17.40%, 100.8, 113.1, -1.36, 10.1, 
Jameer Nelson, DEN, 3.58%, 3.14%, 10.28%, 4.11%, 1.27%, 43.80%, 46.40%, 16.50%, 98.7, 111.3, -2.00, 9.6, 
Devin Harris, DAL, 5.94%, 4.10%, 6.58%, 10.68%, 4.11%, 51.60%, 55.90%, 17.80%, 107.1, 106.1, 0.90, 13.1, 
D.J. Augustin, DEN, 5.57%, 2.57%, 10.44%, 6.08%, 1.01%, 52.00%, 57.50%, 18.00%, 112.9, 110.4, 0.87, 13.9, 
Langston Galloway, NYK, 7.75%, 7.92%, 12.31%, 16.49%, 4.72%, 45.80%, 49.00%, 15.60%, 105.3, 107.8, 0.05, 11.7, 
