Player, Pos, Team, Salary, GP, FPPG, FPMAX, Floor, Ceil, %2x, %3x, %4x, %5x, %6x
Ersan Ilyasova, PF, ORL, 3900.00, 4, 16.6, 24.3, 11.99, 21.21, 100.0, 100.0, 50.0, 25.0, 25.0 
Anthony Morrow, SG, OKC, 3500.00, 8, 6.6, 10.5, 4.64, 8.56, 37.5, 12.5, 0.0, 0.0, 0.0 
Charlie Villanueva, PF, DAL, 3500.00, 6, 11.34, 25, 4.36, 18.32, 66.67, 16.67, 16.67, 16.67, 16.67 
Jeff Green, SF, LAC, 4200.00, 9, 19.1, 30.6, 10.37, 27.83, 88.89, 77.78, 55.56, 55.56, 33.33 
Nicolas Batum, SF, CHA, 7600.00, 9, 34.02, 50.4, 22.29, 45.76, 88.89, 88.89, 66.67, 33.33, 33.33 
Marvin Williams, PF, CHA, 5600.00, 9, 22.51, 37.1, 13.89, 31.13, 100.0, 66.67, 44.44, 22.22, 22.22 
Jared Dudley, PF, WAS, 3500.00, 10, 9.98, 22.6, 4.69, 15.27, 70.0, 40.0, 10.0, 10.0, 10.0 
Trevor Ariza, SF, HOU, 5600.00, 9, 23.26, 33.6, 16.61, 29.9, 100.0, 77.78, 55.56, 33.33, 11.11 
Michael Beasley, SF, HOU, 5300.00, 9, 24.28, 35.8, 15.14, 33.41, 88.89, 77.78, 55.56, 44.44, 33.33 
Wesley Matthews, SG, DAL, 5100.00, 9, 25.46, 35.5, 18.84, 32.08, 100.0, 88.89, 77.78, 44.44, 22.22 
Paul Pierce, SF, LAC, 3500.00, 6, 13.15, 20.4, 9.11, 17.19, 100.0, 66.67, 33.33, 16.67, 0.0 
Dirk Nowitzki, PF, DAL, 7100.00, 8, 31.51, 57.6, 18.08, 44.94, 100.0, 62.5, 50.0, 25.0, 25.0 
Kevin Love, PF, CLE, 7000.00, 10, 30.77, 45.4, 20.14, 41.4, 90.0, 90.0, 60.0, 40.0, 20.0 
Kevin Durant, SF, OKC, 10500.00, 9, 48.17, 65.6, 39.29, 57.05, 100.0, 100.0, 88.89, 22.22, 11.11 
Ian Mahinmi, C, IND, 5200.00, 9, 24.96, 38.2, 17.47, 32.44, 100.0, 88.89, 77.78, 33.33, 22.22 
Joel Anthony, C, DET, 3500.00, 1, 1.2, 1.2, 1.2, 1.2, 0.0, 0.0, 0.0, 0.0, 0.0 
J.J. Hickson, PF, WAS, 3500.00, 4, 12.83, 22, 4.33, 21.34, 50.0, 50.0, 50.0, 25.0, 25.0 
Kendrick Perkins, C, NOP, 3500.00, 11, 10.66, 19.4, 6.64, 14.68, 81.82, 45.45, 18.18, 9.09, 0.0 
Cole Aldrich, C, LAC, 3500.00, 10, 15.11, 24, 9.9, 20.32, 90.0, 90.0, 50.0, 50.0, 10.0 
Chris Kaman, C, POR, 3500.00, 4, 6.65, 20.5, -1.36, 14.66, 25.0, 25.0, 25.0, 25.0, 0.0 
Kevin Seraphin, PF, NYK, 3600.00, 9, 13.61, 20.4, 7.76, 19.46, 88.89, 66.67, 44.44, 33.33, 0.0 
Timofey Mozgov, C, CLE, 3500.00, 11, 13.12, 21.4, 8.76, 17.47, 90.91, 72.73, 36.36, 18.18, 9.09 
Zaza Pachulia, C, DAL, 3600.00, 8, 12.84, 30.1, 3.23, 22.45, 62.5, 62.5, 37.5, 25.0, 25.0 
Omer Asik, C, NOP, 3500.00, 10, 13.14, 31.8, 3.69, 22.59, 60.0, 60.0, 40.0, 40.0, 10.0 
Nick Collison, PF, OKC, 3500.00, 3, 7.73, 10.3, 4.52, 10.95, 66.67, 0.0, 0.0, 0.0, 0.0 
Robin Lopez, C, NYK, 5900.00, 10, 26.35, 51, 13.01, 39.69, 90.0, 70.0, 50.0, 30.0, 30.0 
Jason Smith, PF, ORL, 3700.00, 10, 17.74, 26.5, 11.47, 24.02, 80.0, 80.0, 50.0, 50.0, 20.0 
Spencer Hawes, C, CHA, 3800.00, 5, 11.8, 23.8, 5.21, 18.39, 60.0, 40.0, 20.0, 20.0, 20.0 
Brandon Bass, PF, LAL, 3800.00, 7, 16.17, 28.7, 9.44, 22.9, 85.71, 85.71, 57.14, 28.57, 14.29 
